id,name,address,latitude,longitude,description_de
7ced7f33-1d5e-4976-b24e-bda15789cb72,Zoologischer Garten Berlin,0 Zoo Street,10.0,20.0,"Der Zoologische Garten Berlin ist der älteste noch bestehende Zoo Deutschlands und der artenreichste Zoo der Welt. Er liegt im Berliner Ortsteil Tiergarten an der Grenze zu Charlottenburg." 
e5ceb4f9-71f2-44a3-a3b8-2bf2c392b113,Zoo Leipzig,1 Zoo Street,11.0,21.0,"Der Zoo Leipzig ist ein parkartig gestalteter Zoologischer Garten am Rosental, nordwestlich der Leipziger Innenstadt. Seit 2000 wird der Zoo großflächig unter dem Projektnamen Zoo der Zukunft umgebaut und erweitert."
3bc5be33-8cd0-4007-b1a0-fe1493321c4d,Tierpark Hagenbeck,2 Zoo Street,12.0,22.0,"Der Tierpark Hagenbeck (ehemals Hagenbecks Tierpark) ist ein Zoo in Hamburg. Der im Stadtteil Stellingen gelegene Tierpark ist ebenso wie das 2007 daneben eröffnete Tropen-Aquarium Hagenbeck in Familienbesitz. Er geht auf die im Jahr 1863 von Carl Hagenbeck sen. begründete Carl Hagenbeck’s Handels-Menagerie am Spielbudenplatz im Stadtteil St. Pauli zurück, die 1866 von Carl Hagenbeck jun. zum Neuen Pferdemarkt verlegt wurde."
52d7a3c1-76e1-41f9-a014-c3011744f6af,Tierpark Berlin,3 Zoo Street,13.0,23.0,"Der Tierpark Berlin ist einer der beiden zoologischen Gärten in Berlin. Er wurde 1955 im Ortsteil Friedrichsfelde eröffnet. Mit 160 Hektar Fläche ist er der größte Landschaftstierpark in Europa."
f5a367f6-ce08-4992-bf08-5e8974288425,Wilhelma Zoologisch-Botanischer Garten Stuttgart,4 Zoo Street,14.0,24.0,"Die Wilhelma ist ein zoologisch-botanischer Garten im Stuttgarter Stadtbezirk Bad Cannstatt. Sie zählt mit jährlich über einer Million Besuchern zu den meistbesuchten zoologischen Gärten in Deutschland. Die Wilhelma zeigt heute auf etwa 30 Hektar rund 11.000 Tiere aus aller Welt. "
8838f8b8-3b9c-49d9-9a95-acceb50df0b6,Zoologischer Stadtgarten Karlsruhe,5 Zoo Street,15.0,25.0,"Der Zoologische Stadtgarten Karlsruhe ist ein Stadtgarten mit Zoo in der Südweststadt von Karlsruhe. Ihm zugehörig ist das Außengebiet Tierpark Oberwald südöstlich der Stadt."
061aec19-b80d-4c31-a756-2601aa41c6b7,Zoologischer Garten Köln,6 Zoo Street,16.0,26.0,"Der Zoologische Garten Köln im nördlichen Stadtteil Riehl wurde im Jahre 1860 gegründet und gilt unter den heute in Deutschland vorhandenen Tiergärten als drittältester Zoo. Mit über 1,3 Millionen Zutritten (im Jahr 2019) gehört er zu den meistbesuchten Einrichtungen seiner Art in Deutschland. "
d56ac378-7e8f-406f-ac16-6c401d64a333,Tiergarten Nürnberg,7 Zoo Street,17.0,27.0,"Der Tiergarten Nürnberg ist ein 65 Hektar großer Landschaftszoo am Rande der Stadt Nürnberg im Lorenzer Reichswald am Schmausenbuck gelegen. Es werden gut 300 Tierarten gehalten, darunter zahlreiche gefährdete Arten."
ab91a288-4cb7-421c-b27e-04aca5cf49db,Zoo Osnabrück,8 Zoo Street,18.0,28.0,"Der Zoo Osnabrück ist ein Zoo im Süden von Osnabrück. Er liegt an den Hängen des Schölerbergs in einem Waldgebiet und wird deshalb auch Waldzoo genannt. Er wurde 1935 als „Heimattiergarten“ gegründet und im Sommer 1936 eröffnet."
9ec17bed-f3b0-4a5c-ac70-8eb5687cc739,Erlebnis-Zoo Hannover,9 Zoo Street,19.0,29.0,"Der Erlebnis-Zoo Hannover ist ein zoologischer Garten im Stadtteil Zoo in Hannover. Er wurde am 4. Mai 1865 als achter deutscher Zoo gegründet und umfasst eine Fläche von 22 Hektar. Im Januar 2024 beherbergte die Anlage etwa 1473 Tiere in 158 Arten."
